date|uso_de_internet|Banda_ancha_fija|Telefonia_Movil
1990|0.0||0.036788768
1991|0.0||0.07557665
1992|0.002992874||0.138952987
1993|0.029527065||0.329701602
1994|0.043705951||0.701000783
1995|0.086277081||1.163985934
1996|0.141954704||1.892449986
1997|0.280339882||5.634374256
1998|0.83076668||7.406006174
1999|3.284481956||10.55432581
2000|7.038683086||17.59645109
2001|9.780807285|94000.0|18.08631275
2002|10.88212438|148000.0|17.42684502
2003|11.91369655|258849.0|20.58984504
2004|16.03668411|542879.0|35.10441866
2005|17.72058337|926722.0|56.96774563
2006|20.9272021|1583713.0|80.19976545
2007|25.94663294|2600000.0|101.8079595
2008|28.11262348|3114741.0|116.0393921
2009|34.0|3511026.0|129.6422074
2010|45.0|4028238.0|139.580018
2011|51.0|4572023.0|146.9554555
2012|55.8|5148583.0|154.059023
2013|59.9|6251020.0|159.6394613
2014|64.7|6519458.0|143.6158316
2015|68.04306411|6855837.0|143.566834
2016|70.96898082|7251673.0|146.4538276
2017|74.29490687|7842778.0|140.8771235
2018||8473655.0|132.0931513
2019||8793181.0|125.842106
