date|Telefonia_Movil
1990|0.036788768
1991|0.07557665
1992|0.138952987
1993|0.329701602
1994|0.701000783
1995|1.163985934
1996|1.892449986
1997|5.634374256
1998|7.406006174
1999|10.55432581
2000|17.59645109
2001|18.08631275
2002|17.42684502
2003|20.58984504
2004|35.10441866
2005|56.96774563
2006|80.19976545
2007|101.8079595
2008|116.0393921
2009|129.6422074
2010|139.580018
2011|146.9554555
2012|154.059023
2013|159.6394613
2014|143.6158316
2015|143.566834
2016|146.4538276
2017|140.8771235
2018|132.0931513
2019|125.842106
